name,country,tier,display,cost,rent,cost_source,rent_source,salary_h1b,fh,ubs_risk,prod_cost_delta%,prod_rent_delta%
坦帕,美国,S,keep,3148,1988,v4:US3200×geomean(wbPLI=0.99;digPLI=1.00)×prem1×BEA-RPP0.99,Zillow-ZORI-2026-03-31,,83,,-10.9,-12.7
广州,中国,B,keep,1571,682,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1×none1.00,prod-USD(742)×NBS-2hand-YoY(91.9%),,9,,13.1,-8.1
深圳,中国,B,keep,1571,748,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1×none1.00,prod-USD(804)×NBS-2hand-YoY(93%),,9,,5.3,-7
成都,中国,B,keep,1571,616,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1×none1.00,prod-USD(655)×NBS-2hand-YoY(94.1%),,9,,26.4,-6
杭州,中国,B,keep,1571,684,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1×none1.00,prod-USD(721)×NBS-2hand-YoY(94.8%),,9,,16.1,-5.1
重庆,中国,B,keep,1571,574,v4:US3200×geomean(wbPLI=0.49;digPLI=undefined)×prem1×none1.00,prod-USD(610)×NBS-2hand-YoY(94.1%),,9,,34.8,-5.9
大阪,日本,C,warn,1635,621,v4:US3200×geomean(wbPLI=0.62;digPLI=0.42)×prem1×none1.00,cost×rentShare(0.38),,96,,-40.2,-58.2
名古屋,日本,C,warn,1635,621,v4:US3200×geomean(wbPLI=0.62;digPLI=0.42)×prem1×none1.00,cost×rentShare(0.38),,96,,-37.2,-56
金边,柬埔寨,C,warn,1161,255,v4:US3200×geomean(wbPLI=0.33;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.22),,,,30,-43.8
仰光,缅甸,C,warn,798,176,v4:US3200×geomean(wbPLI=0.23;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.22),,,,26.1,-43
清迈,泰国,C,warn,1236,396,v4:US3200×geomean(wbPLI=0.30;digPLI=0.50)×prem1×none1.00,cost×rentShare(0.32),,36,,14.7,-29.2
达卡,孟加拉国,C,warn,946,208,v4:US3200×geomean(wbPLI=0.27;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.22),,,,41.8,-36.6
科伦坡,斯里兰卡,C,warn,1017,285,v4:US3200×geomean(wbPLI=0.29;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.28),,,,37.2,-22.6
加德满都,尼泊尔,C,warn,888,195,v4:US3200×geomean(wbPLI=0.25;digPLI=undefined)×prem1.1×none1.00,cost×rentShare(0.22),,,,10.9,-51.5
阿拉木图,哈萨克斯坦,D,drop,,,null,null,,,,,
塔什干,乌兹别克斯坦,D,drop,,,null,null,,,,,
巴库,阿塞拜疆,D,drop,,,null,null,,,,,
乌兰巴托,蒙古,C,warn,1128,316,v4:US3200×geomean(wbPLI=0.35;digPLI=undefined)×prem1×none1.00,cost×rentShare(0.28),,,,-16.1,-55.8
斯德哥尔摩,瑞典,A,keep,3995,2034,v4:US3200×geomean(wbPLI=0.80;digPLI=0.95)×prem1.1×Eurostat-PLI1.30,InsideAirbnb×13.6,,99,,33.6,22.6
